transaction_id,customer_id,amount,payment_method,failure_reason,retry_count,hours_since_failure,previous_payments,previous_successes,previous_failures,customer_lifetime_value,customer_tenure_days,avg_previous_amount,payment_success_rate,days_since_last_success,failed_payment_count_30d,recovered
TX000057,C08199,505.41,CARD,PERMANENT_DECLINE,0,5.14,16,10,6,17632.22,284,487.89,0.6496571373769511,8.7,1,0
TX000058,C02315,222.79,UPI,TEMPORARY,3,1.73,21,17,4,4120.76,756,146.85,0.8332089791824536,24.25,0,1
TX000059,C11151,826.81,CARD,TEMPORARY,0,4.3,22,21,1,17426.94,1005,848.19,0.9447169988217313,14.48,1,1
TX000060,C10246,1871.57,NETBANKING,BANK_DECLINE,0,1.98,22,20,2,22219.16,240,2611.48,0.8916806409706542,177.27,3,0
TX000061,C13838,948.09,CARD,INSUFFICIENT_FUNDS,0,10.02,19,17,2,19662.36,363,1118.7,0.9105033419615949,40.26,2,0
TX000062,C11172,1276.29,CARD,INSUFFICIENT_FUNDS,0,8.21,11,9,2,17228.41,965,1403.26,0.8289560093368533,34.3,1,1
TX000063,C05500,2610.01,NETBANKING,PERMANENT_DECLINE,0,10.24,20,19,1,33883.78,118,1377.24,0.9515087858310782,56.08,1,0
TX000064,C14513,749.84,CARD,PERMANENT_DECLINE,0,33.08,22,17,5,14616.09,605,751.47,0.788626150895523,55.36,0,0
TX000065,C06163,346.05,UPI,INSUFFICIENT_FUNDS,1,5.73,18,15,3,6587.2,112,274.59,0.8606941649478106,25.23,3,0
TX000066,C04888,827.98,UPI,NETWORK_ERROR,1,13.38,23,23,0,17975.21,878,635.28,0.9929948801796923,3.06,1,1
TX000067,C13584,2640.38,CARD,INSUFFICIENT_FUNDS,0,22.08,14,13,1,35781.55,212,2689.93,0.9454445808595785,67.51,1,0
TX000068,C05557,1404.92,UPI,NETWORK_ERROR,3,21.83,13,8,5,15108.72,173,1437.76,0.6386306771159639,48.1,1,0
TX000069,C01146,1128.79,UPI,INSUFFICIENT_FUNDS,0,14.85,13,10,3,17747.87,222,1338.35,0.7852936385328376,12.14,2,1
TX000070,C07044,2209.04,UPI,TEMPORARY,1,4.9,25,23,2,31600.4,280,3099.98,0.9389100912302866,17.2,1,1
TX000071,C11936,9516.78,UPI,TEMPORARY,0,4.95,18,16,2,107970.42,357,8342.63,0.9051626962768179,20.51,1,0
TX000072,C02843,4041.98,CARD,BANK_DECLINE,0,1.39,18,18,0,54618.91,279,4520.25,0.995,14.21,0,1
TX000073,C06945,2930.97,UPI,INSUFFICIENT_FUNDS,0,6.2,23,21,2,36882.46,647,2176.88,0.9152415266466531,112.75,2,0
TX000074,C01949,4581.4,NETBANKING,INSUFFICIENT_FUNDS,1,15.92,18,16,2,47773.57,852,3745.12,0.8632972192711968,185.17,2,0
TX000075,C10298,1135.19,WALLET,INSUFFICIENT_FUNDS,0,20.35,22,21,1,23211.77,1146,1322.41,0.946037420562134,122.79,1,1
TX000076,C07136,139.27,UPI,TEMPORARY,1,6.67,19,15,4,8913.75,1193,143.73,0.7996982782477293,13.62,0,1
TX000077,C04953,1306.31,UPI,EXPIRED_CARD,1,1.74,25,22,3,17543.12,234,1301.56,0.8614021268469512,49.72,0,0
TX000078,C03404,856.97,WALLET,INSUFFICIENT_FUNDS,1,23.79,22,19,3,13038.58,320,1425.07,0.8759949945391913,54.63,0,0
TX000079,C08468,4151.43,UPI,BANK_DECLINE,1,0.52,18,14,4,35697.73,259,2438.71,0.7855091622022086,115.73,0,1
TX000080,C10048,1514.5,CARD,TEMPORARY,0,19.37,13,9,4,17079.61,163,2229.33,0.6901071928771907,41.14,1,0
TX000081,C14105,2776.65,UPI,TEMPORARY,0,0.86,22,18,4,29720.03,302,2840.92,0.8105503959784801,0.34,0,0
TX000082,C06558,5053.13,UPI,INSUFFICIENT_FUNDS,2,6.56,16,14,2,48369.32,701,10588.78,0.8611268053938019,31.93,0,1
TX000083,C02411,490.73,UPI,BANK_DECLINE,1,2.47,23,19,4,12912.11,239,665.97,0.8271910957499854,3.11,3,0
TX000084,C12491,980.41,CARD,TEMPORARY,0,0.68,21,19,2,14182.01,866,672.66,0.8896411872442295,184.8,0,1
TX000085,C09447,1136.27,UPI,INSUFFICIENT_FUNDS,0,13.64,15,12,3,29379.83,450,1624.82,0.8124153759524166,39.72,2,1
TX000086,C10504,2463.0,UPI,PERMANENT_DECLINE,0,9.3,15,12,3,23990.42,142,2912.14,0.8105574231190481,8.95,1,0
TX000087,C01459,419.01,CARD,NETWORK_ERROR,1,29.13,13,11,2,12640.15,1120,644.83,0.8415805958441156,23.65,0,1
TX000088,C04686,845.69,UPI,TEMPORARY,1,21.89,27,25,2,15864.96,412,1139.67,0.9275384921313407,41.7,2,0
TX000089,C11518,2921.65,CARD,BANK_DECLINE,1,8.74,19,16,3,32325.67,360,3231.59,0.828722657858611,42.86,2,0
TX000090,C12484,10134.34,NETBANKING,BANK_DECLINE,0,0.43,17,16,1,120697.21,507,9091.08,0.9338309479339532,183.2,0,0
TX000091,C06529,1446.57,NETBANKING,INSUFFICIENT_FUNDS,2,17.21,14,11,3,16656.54,180,1066.3,0.8170010861195004,29.28,0,0
TX000092,C12072,1772.91,CARD,PERMANENT_DECLINE,1,16.19,27,24,3,22017.55,782,2903.03,0.8916185646206896,64.55,1,0
TX000093,C12626,2214.34,UPI,INSUFFICIENT_FUNDS,0,1.88,22,18,4,31310.76,241,2007.4,0.8119509685676581,10.26,1,1
TX000094,C05813,578.59,CARD,TEMPORARY,1,19.61,17,13,4,8965.6,555,589.63,0.7745796465529114,6.97,0,1
TX000095,C13472,1520.35,UPI,BANK_DECLINE,0,12.2,15,12,3,24638.78,374,1017.5,0.7934794672751586,26.95,0,1
TX000096,C04325,976.02,UPI,PERMANENT_DECLINE,0,6.53,22,17,5,11859.24,1111,1316.16,0.7614690542505791,2.32,2,0
TX000097,C03594,1147.56,CARD,INSUFFICIENT_FUNDS,1,8.98,18,14,4,21880.11,798,1047.53,0.7830344406315739,48.3,2,1
TX000098,C10238,1275.19,CARD,NETWORK_ERROR,0,10.09,17,13,4,12457.14,771,1740.96,0.7537254143214439,31.67,1,0
TX000099,C09552,1333.78,CARD,INSUFFICIENT_FUNDS,1,9.37,18,13,5,13160.5,995,1286.96,0.7454930411018739,7.32,2,1
TX000100,C02097,1336.53,CARD,TEMPORARY,3,8.35,10,8,2,15519.28,981,1090.62,0.7910006287357808,6.76,2,1
TX000101,C12492,3058.45,UPI,INSUFFICIENT_FUNDS,0,34.57,18,15,3,53389.7,316,4465.31,0.8350200179449351,3.34,0,0
TX000102,C02999,4468.33,UPI,BANK_DECLINE,3,12.42,22,16,6,42010.07,303,5361.07,0.7161478455161319,129.05,1,1
TX000103,C12074,2841.89,UPI,EXPIRED_CARD,0,10.63,13,11,2,33960.88,164,3731.34,0.864403454529529,63.04,2,0
TX000104,C00111,2042.02,UPI,BANK_DECLINE,1,7.33,15,14,1,26332.03,579,2339.87,0.9356497541587225,3.95,0,1
TX000105,C11953,503.45,UPI,BANK_DECLINE,0,34.4,12,9,3,9146.96,65,459.81,0.7096075421803938,6.04,2,0
TX000106,C11804,772.72,CARD,BANK_DECLINE,0,7.97,22,20,2,10843.76,679,559.96,0.9101951719509014,34.82,1,0
TX000107,C11706,958.84,UPI,TEMPORARY,0,18.51,22,14,8,11444.71,339,611.44,0.6171151071891877,94.48,0,0
TX000108,C09973,1166.55,UPI,NETWORK_ERROR,0,29.75,21,15,6,20998.41,115,936.33,0.7334130096077258,11.73,1,0
TX000109,C07074,1953.16,UPI,NETWORK_ERROR,1,3.76,15,12,3,28864.01,1145,1874.81,0.8126510866395151,23.55,0,0
TX000110,C10578,3488.78,UPI,NETWORK_ERROR,1,51.09,18,14,4,33764.81,52,4638.37,0.7951369333810574,5.42,1,0
TX000111,C04157,2092.96,UPI,INSUFFICIENT_FUNDS,0,9.92,14,13,1,31647.47,981,1991.1,0.9174528596937264,6.73,4,0
TX000112,C11711,1238.04,UPI,BANK_DECLINE,1,7.71,18,13,5,12807.94,336,1339.45,0.7254034750927374,29.4,2,1
TX000113,C08335,3474.07,UPI,PERMANENT_DECLINE,2,11.97,17,15,2,43466.25,87,3861.58,0.8964389052445824,77.24,0,0
TX000114,C06884,508.07,UPI,PERMANENT_DECLINE,2,4.99,26,22,4,9802.52,918,391.74,0.8353681957703887,8.25,4,0
TX000115,C07585,3682.68,CARD,BANK_DECLINE,0,45.7,17,15,2,54215.34,576,4411.54,0.903150834959515,7.85,1,0
TX000116,C08532,3822.28,UPI,INSUFFICIENT_FUNDS,0,9.92,30,23,7,42079.85,944,2166.86,0.7530308525863684,3.6,2,0
TX000117,C00559,308.96,UPI,EXPIRED_CARD,2,6.56,19,15,4,8118.9,847,299.0,0.8018938151609196,18.12,2,0
TX000118,C02097,749.91,CARD,EXPIRED_CARD,0,0.69,16,12,4,12324.77,1191,549.59,0.7758063773034364,49.89,0,0
TX000119,C03683,841.26,UPI,EXPIRED_CARD,1,18.87,25,22,3,17630.66,475,1783.5,0.8914753085126818,11.88,1,0
TX000120,C01718,1357.83,CARD,PERMANENT_DECLINE,1,2.2,13,11,2,19174.11,274,1567.15,0.8786768691161737,0.2,0,1
TX000121,C06595,2351.58,UPI,INSUFFICIENT_FUNDS,0,2.31,17,16,1,28124.39,631,2878.18,0.9568793908939728,17.78,2,1
TX000122,C10027,2044.07,CARD,PERMANENT_DECLINE,3,1.62,23,20,3,22592.04,531,2857.5,0.8875143431037139,135.75,2,1
TX000123,C09817,808.16,UPI,TEMPORARY,0,14.38,17,15,2,12772.32,328,705.67,0.90797212438075,26.27,1,1
TX000124,C07067,3246.94,UPI,TEMPORARY,0,5.63,19,14,5,42697.68,543,4362.79,0.7245643711842307,37.72,0,1
TX000125,C12827,4079.67,UPI,BANK_DECLINE,1,1.81,17,15,2,47423.18,998,5613.06,0.8870675216978783,12.42,1,0
TX000126,C08479,559.38,UPI,PERMANENT_DECLINE,1,0.46,15,11,4,14963.01,548,775.98,0.7325186713597632,46.23,3,0
TX000127,C01188,813.37,CARD,INSUFFICIENT_FUNDS,1,6.04,13,9,4,10005.93,1175,721.06,0.6834160843466793,76.07,4,0
TX000128,C11475,8334.31,UPI,PERMANENT_DECLINE,0,32.95,12,10,2,89864.12,191,9842.17,0.8501597304367386,1.86,0,0
TX000129,C08620,834.14,NETBANKING,PERMANENT_DECLINE,0,16.05,19,15,4,10413.05,382,909.56,0.7769073661824187,99.5,0,0
TX000130,C09521,1895.9,CARD,TEMPORARY,0,8.39,19,14,5,22834.63,1024,1411.45,0.7599328823569708,5.58,2,1
TX000131,C08481,1286.54,UPI,NETWORK_ERROR,0,1.01,16,12,4,12926.39,1078,1249.62,0.7735953636268617,4.22,1,1
TX000132,C08304,135.57,UPI,TEMPORARY,0,0.46,20,15,5,5740.15,941,138.46,0.7438856180284911,40.12,0,1
TX000133,C01359,839.37,CARD,PERMANENT_DECLINE,1,1.06,18,14,4,10450.32,1091,1220.7,0.7546336993827063,3.4,0,0
TX000134,C08389,912.71,UPI,NETWORK_ERROR,1,6.94,16,12,4,18559.24,491,1367.41,0.7764681369097443,19.89,1,1
TX000135,C11924,3124.67,UPI,TEMPORARY,1,1.43,22,20,2,37406.53,259,3093.99,0.8883147041652901,24.58,0,1
TX000136,C04560,1412.14,UPI,NETWORK_ERROR,0,19.62,13,9,4,11984.55,918,1604.46,0.6640800267710066,73.02,4,0
TX000137,C09043,1784.29,UPI,INSUFFICIENT_FUNDS,0,11.46,24,19,5,19109.89,1071,1540.91,0.8021189178238712,12.61,1,0
TX000138,C00463,3860.96,UPI,EXPIRED_CARD,0,7.01,16,13,3,36757.86,69,3908.73,0.820842134219777,60.78,2,0
TX000139,C05213,1337.71,NETBANKING,TEMPORARY,0,18.79,12,9,3,11984.97,1048,1280.89,0.7164790451540144,2.25,2,0
TX000140,C06551,902.45,UPI,BANK_DECLINE,0,7.72,15,13,2,11939.01,1104,914.01,0.8337135868003002,10.27,1,0
TX000141,C14742,1115.04,UPI,TEMPORARY,0,8.17,25,22,3,16200.86,273,1515.51,0.8924069127857508,20.83,1,1
TX000142,C03219,1886.12,CARD,BANK_DECLINE,1,2.75,20,19,1,27542.56,1023,1433.04,0.9332609023404714,73.4,0,1
TX000143,C04149,1597.31,CARD,NETWORK_ERROR,1,0.2,16,13,3,26826.29,1037,2306.2,0.8301964641818118,14.93,1,0
TX000144,C06128,4188.54,CARD,TEMPORARY,0,5.61,18,16,2,56458.0,864,4417.58,0.9108886916203719,1.95,0,1
TX000145,C14890,1119.44,CARD,EXPIRED_CARD,2,0.2,21,18,3,20140.07,790,1096.81,0.8474607100325816,39.16,1,0
TX000146,C12802,748.01,UPI,NETWORK_ERROR,1,14.15,16,12,4,10762.38,50,699.22,0.7785994954106655,100.24,1,1
TX000147,C00521,2644.23,UPI,INSUFFICIENT_FUNDS,1,14.38,18,16,2,42904.36,416,1705.57,0.8999412999206003,6.88,1,1
TX000148,C03510,5117.11,UPI,INSUFFICIENT_FUNDS,0,26.48,16,14,2,58057.17,251,3611.93,0.863619926068722,45.45,0,1
TX000149,C12326,5926.28,UPI,TEMPORARY,0,35.23,17,14,3,54040.8,374,3692.71,0.8189919052902968,2.48,2,1
TX000150,C00875,926.71,CARD,BANK_DECLINE,1,11.14,13,9,4,12716.19,777,1085.68,0.6680432111994713,20.74,2,0
TX000151,C12836,3357.28,CARD,INSUFFICIENT_FUNDS,1,9.87,9,8,1,38401.38,844,3716.51,0.8726229953728479,13.59,2,0
TX000152,C04221,578.23,NETBANKING,TEMPORARY,0,4.11,25,23,2,8835.44,890,644.98,0.9163052050111964,37.13,1,1
TX000153,C13765,2300.24,NETBANKING,TEMPORARY,1,12.44,16,12,4,24743.87,1038,2354.33,0.7652309172637185,33.94,3,1
TX000154,C04404,7222.5,UPI,INSUFFICIENT_FUNDS,1,2.63,17,15,2,80414.49,826,9038.13,0.8743599577261341,69.76,0,0
TX000155,C06515,760.08,UPI,INSUFFICIENT_FUNDS,0,0.91,19,19,0,16411.43,513,687.6,0.9767742756639288,101.53,1,1
TX000156,C09929,1644.5,CARD,EXPIRED_CARD,2,6.0,26,20,6,17970.12,542,2173.57,0.7819599467970931,95.14,2,0
TX000157,C01895,1112.07,UPI,BANK_DECLINE,0,9.8,14,13,1,13423.91,1169,988.19,0.920896338342795,19.25,3,0
TX000158,C08356,5065.43,UPI,PERMANENT_DECLINE,3,3.47,21,17,4,54700.67,555,5438.43,0.825451639613026,9.26,0,0
TX000159,C07576,2754.27,UPI,PERMANENT_DECLINE,0,11.9,16,14,2,42094.73,937,1050.79,0.8897654008012905,12.26,2,0
TX000160,C11759,3036.66,NETBANKING,INSUFFICIENT_FUNDS,0,1.26,19,16,3,33091.78,557,3519.57,0.8472789303281553,10.28,1,0
TX000161,C14942,657.49,CARD,BANK_DECLINE,1,10.32,21,17,4,15537.97,867,527.53,0.8122626624858144,53.71,0,0
TX000162,C09965,1589.5,UPI,EXPIRED_CARD,2,38.31,23,20,3,20877.83,863,1599.41,0.8514203146954005,2.12,1,0
TX000163,C06138,409.85,UPI,PERMANENT_DECLINE,0,19.99,16,13,3,8929.41,732,483.27,0.8039593671618941,65.02,2,0
TX000164,C06096,911.15,CARD,BANK_DECLINE,3,72.0,13,11,2,13295.92,450,1472.41,0.8791834633760813,28.94,2,0
TX000165,C06270,1485.05,CARD,TEMPORARY,1,3.95,17,13,4,16032.36,939,678.47,0.747133025587606,8.81,0,1
TX000166,C12211,276.02,UPI,INSUFFICIENT_FUNDS,0,10.37,26,24,2,9173.44,184,386.76,0.938025379288213,31.43,0,0
TX000167,C04819,543.48,UPI,TEMPORARY,0,10.97,33,27,6,8064.94,790,731.21,0.8203474585072441,97.41,1,0
TX000168,C02505,1573.63,UPI,TEMPORARY,0,1.78,12,9,3,17103.29,86,1351.57,0.7129485858081486,45.82,2,1
TX000169,C05015,1363.78,NETBANKING,INSUFFICIENT_FUNDS,1,0.62,14,10,4,17479.87,1119,1230.35,0.7411152935720464,6.08,4,0
TX000170,C00341,2842.77,UPI,BANK_DECLINE,0,6.23,14,11,3,29025.29,721,2494.65,0.7985348621917955,30.65,2,1
TX000171,C01593,4096.93,UPI,INSUFFICIENT_FUNDS,1,4.13,14,11,3,33080.04,1104,4259.0,0.7940802343868869,6.34,1,0
TX000172,C01351,1687.23,UPI,EXPIRED_CARD,0,12.97,22,19,3,23875.65,993,1493.54,0.8685037846832622,20.58,2,0
TX000173,C11574,958.66,UPI,EXPIRED_CARD,1,2.29,13,11,2,22959.67,690,852.77,0.819859822833426,75.55,1,0
TX000174,C10836,3392.93,UPI,NETWORK_ERROR,0,6.38,18,14,4,37942.84,389,2690.97,0.7955150773819641,2.05,2,0
TX000175,C10452,508.65,CARD,TEMPORARY,0,4.41,11,9,2,15350.94,291,691.44,0.8437833027440853,21.72,2,1
TX000176,C06929,6512.01,UPI,TEMPORARY,0,22.0,19,15,4,69080.55,89,9912.45,0.8116785632048976,28.86,2,0
TX000177,C10756,1276.05,UPI,INSUFFICIENT_FUNDS,1,1.49,20,17,3,16406.16,499,1178.5,0.8636560732666723,10.94,2,0
TX000178,C02420,827.86,CARD,INSUFFICIENT_FUNDS,2,2.67,14,11,3,10013.55,1020,564.22,0.7820721225235916,21.67,2,1
TX000179,C13510,1511.67,UPI,EXPIRED_CARD,2,8.16,19,17,2,18822.39,448,1078.07,0.8773019157069879,9.61,1,0
TX000180,C07516,1324.31,UPI,NETWORK_ERROR,0,2.16,10,8,2,27613.51,603,1326.54,0.7912077388460375,21.49,4,1
TX000181,C14071,3921.55,WALLET,BANK_DECLINE,2,23.25,13,10,3,34660.8,999,5319.88,0.7486869901163302,1.07,0,1
TX000182,C02285,2965.9,UPI,TEMPORARY,0,11.72,12,11,1,37445.56,58,1908.46,0.8976696441839825,112.79,0,1
TX000183,C07460,365.07,UPI,TEMPORARY,1,10.31,17,14,3,27388.42,733,260.2,0.8425020723745783,22.27,1,0
TX000184,C10445,2810.62,CARD,PERMANENT_DECLINE,2,28.56,17,15,2,35768.23,800,3555.68,0.8887732954512708,2.81,1,0
TX000185,C07435,4916.37,CARD,NETWORK_ERROR,0,8.65,18,16,2,58898.88,822,3422.06,0.8945604242901913,10.31,0,1
TX000186,C06693,1599.93,UPI,TEMPORARY,2,3.81,25,24,1,20696.93,182,1675.8,0.9420692627515135,21.05,0,1
TX000187,C02494,2438.59,UPI,INSUFFICIENT_FUNDS,0,28.05,18,15,3,27423.71,1133,3914.4,0.8169132529872579,5.17,1,0
TX000188,C05716,5217.36,NETBANKING,BANK_DECLINE,0,10.31,16,12,4,51347.13,538,6055.53,0.7563671001859712,15.15,1,0
TX000189,C03582,1054.91,NETBANKING,PERMANENT_DECLINE,0,37.18,23,17,6,21166.55,378,901.69,0.7480049821024191,78.91,1,0
TX000190,C04523,542.87,UPI,PERMANENT_DECLINE,0,0.2,14,11,3,8025.02,32,475.56,0.7764530642468902,122.39,1,1
TX000191,C10256,1172.66,UPI,BANK_DECLINE,0,19.31,15,14,1,17383.53,646,1834.39,0.9278481612051644,20.62,1,1
TX000192,C09455,2052.33,UPI,PERMANENT_DECLINE,1,2.36,15,10,5,24703.25,1054,1114.13,0.6960138336403605,38.33,1,0
TX000193,C09108,3457.33,WALLET,BANK_DECLINE,0,0.69,12,10,2,34246.58,1078,1728.38,0.8153724152195464,6.93,1,0
TX000194,C05428,587.02,UPI,TEMPORARY,0,20.39,18,16,2,18393.01,373,726.68,0.8833653736082033,26.47,0,1
TX000195,C14396,4115.04,UPI,EXPIRED_CARD,1,9.14,23,22,1,52342.78,301,4684.74,0.9473060695851647,48.35,0,0
TX000196,C01315,1606.88,WALLET,PERMANENT_DECLINE,0,0.53,16,14,2,21354.48,53,2013.74,0.9019601717396252,25.2,0,0
